ID ,AMOUNT, TRAN_DATE  ,POST_DATE ,DESCRIPTION                                               ,CATEGORY_TEXT       
1,67,2013-01-03,2013-01-03,MUNICIPACOURT WEB 512-974-4630 TX                         ,Government Services 
2,58.2,2013-01-11,2013-01-11,ATTM*265011 ALPHARETTA GA                                 ,Services            
3,12.6,2013-01-15,2013-01-17,MCDONALDS F15751 LOS ANGELES NY                           ,Cafes         
4,3.76,2013-01-15,2013-01-17,MCDONALDS F15751 LOS ANGELES NY                           ,Cafes         
5,7.71,2013-01-15,2013-01-17,STARBUCKS N3005 LOS ANGELES CA                            ,Cafes         
6,5.88,2013-01-15,2013-01-17,SUPER  MARKET TUCSON AZ                                   ,Supermarkets        
7,108,2013-01-17,2013-01-17,EYEDROP TUCSON TUCSON AZ                                  ,MedServices      
8,27.9,2013-01-17,2013-01-17,FRYS ELECTRONICS #36 YUMA AZ                              ,Merchandise         
9,3.91,2013-01-17,2013-01-17,MCDONALDS F312 SCOTTSDALE AZ                              ,Cafes         
10,6.22,2013-01-18,2013-01-18,BURGER KING #081 YUMA AZ                                  ,Cafes         
11,3.92,2013-01-18,2013-01-18,MCDONALDS F12 YUMA AZ                                     ,Cafes         
12,9.8,2013-01-19,2013-01-19,PARIS PALACE TUCSON AZ                                    ,Cafes         
13,5.22,2013-01-20,2013-01-20,BURGER KING #110 YUMA AZ                                  ,Cafes         
14,132,2013-01-20,2013-01-20,EYEPDROP TUCSON TUCSON AZ                                 ,MedServices      
15,24.93,2013-01-21,2013-01-21,SUPER  MARKET TUCSON AZ                                   ,Supermarkets        
16,8.7,2013-01-21,2013-01-21,PARIS PALACE TUCSON AZ                                    ,Cafes         
17,88.9,2013-01-22,2013-01-22,COX*TUCSON COMM SERV AZ                                   ,Services            
18,10.14,2013-01-22,2013-01-22,MCDONALDS F102 TUCSON AZ                                  ,Cafes         
19,16.1,2013-01-23,2013-01-23,PARIS PALACE TUCSON AZ                                    ,Cafes         
20,10.23,2013-01-24,2013-01-24,FRYS-FOOD-DRG #24 TUCSON AZ                               ,Supermarkets        
21,2.83,2013-01-24,2013-01-24,MCDONALDS F152 TUCSON AZ                                  ,Cafes         
22,3.6,2013-01-25,2013-01-25,BURGER KING #081 YUMA AZ                                  ,Cafes         
23,12.4,2013-01-26,2013-01-26,SUPER  MARKET TUCSON AZ                                   ,Supermarkets        
24,9.8,2013-01-26,2013-01-26,PARIS PALACE TUCSON AZ                                    ,Cafes         
25,32.25,2013-01-28,2013-01-28,PARIS PALACE TUCSON AZ                                    ,Cafes         
26,22,2013-02-01,2013-02-01,CROUCHING RESTAURA PALO ALTO CA                           ,Cafes         
27,55.08,2013-02-03,2013-02-03,FOLD RESTAURANT PALO ALTO CA                              ,Cafes         
28,455.44,2013-02-05,2013-02-05,COMFORT INN PALO ALTO CA                                  ,Entertainment/Travel
29,372.28,2013-02-05,2013-02-05,HERTZ CAR RENTASAN JOSE CA                                ,Entertainment/Travel
30,35.43,2013-02-05,2013-02-05,SHEL5463750 MILPITAS CA                                   ,BioGas            
31,52.68,2013-02-07,2013-02-07,02093 CHEVRON 055 YUMA AZ                                 ,BioGas            
32,22.15,2013-02-09,2013-02-09,SUPER  MARKET TUCSON AZ                                   ,Supermarkets        
33,9.8,2013-02-09,2013-02-09,PARIS PALACE TUCSON AZ                                    ,Cafes         
34,59.72,2013-02-11,2013-02-11,ATTM*265011 ALPHARETTA GA                                 ,Services            
35,24.23,2013-02-18,2013-02-18,SUPER  MARKET TUCSON AZ                                   ,Supermarkets        
36,12.3,2013-02-19,2013-02-19,PARIS PALACE TUCSON AZ                                    ,Cafes         
37,38.95,2013-02-20,2013-02-20,COX*TUCSON COMM SERV AZ                                   ,Services            
38,36.28,2013-02-24,2013-02-24,VALERO 171 SCOTTSDALE AZ                                  ,BioGas            
39,4.88,2013-02-26,2013-02-26,AAMARK YUMA AZ                                            ,Cafes         
40,6,2013-02-26,2013-02-26,BURGER KING #081 YUMA AZ                                  ,Cafes         
41,27.68,2013-02-28,2013-02-28,SUPER  MARKET TUCSON AZ                                   ,Supermarkets        
42,3.6,2013-03-03,2013-03-03,BURGER KING #111 YUMA AZ                                  ,Cafes         
43,4.74,2013-03-04,2013-03-04,STARBUCKS U000745 NEW YORK NY                             ,Cafes         
44,84,2013-03-05,2013-03-05,EMPIRE STATE BLDG NEW YORK NY                             ,Entertainment/Travel
45,17.3,2013-03-05,2013-03-05,STARBUCKS U000355 NEW YORK NY                             ,Cafes         
46,6,2013-03-10,2013-03-10,BURGER KING #101 YUMA AZ                                  ,Cafes         
47,59.72,2013-03-11,2013-03-11,ATTM*265011 ALPHARETTA GA                                 ,Services            
48,52.84,2013-03-13,2013-03-13,ARIZONA FLAGSTAFF AZ                                      ,Entertainment/Travel
49,22.7,2013-03-14,2013-03-14,REWIKI SCOTTSDALE AZ                                      ,Cafes         
50,7.42,2013-03-15,2013-03-17,MCDONALDS F664 YUMA AZ                                    ,Cafes         
51,18.81,2013-03-16,2013-03-17,SUPER  MARKET TUCSON AZ                                   ,Supermarkets        
52,9.8,2013-03-17,2013-03-17,PARIS PALACE TUCSON AZ                                    ,Cafes         
53,19.96,2013-03-19,2013-03-19,SUPER  MARKET TUCSON AZ                                   ,Supermarkets        
54,9.8,2013-03-19,2013-03-19,PARIS PALACE TUCSON AZ                                    ,Cafes         
55,3.27,2013-03-19,2013-03-19,TARGET TUCSON AZ                                          ,Merchandise         
56,6,2013-03-22,2013-03-22,BURGER KING #110 YUMA AZ                                  ,Cafes         
57,36.95,2013-03-23,2013-03-23,COX*TUCSON COMM SERV AZ                                   ,Services            
58,8.61,2013-03-23,2013-03-23,FRYS-FOOD-DRG #025 CHANDLER AZ                            ,Supermarkets        
59,10,2013-03-23,2013-03-23,CHANDLER HEALTH CHANDLER AZ                               ,MedServices      
60,12.8,2013-03-24,2013-03-24,TANTIMES CHANDLER AZ 000005                               ,Cafes         
61,16,2013-03-26,2013-03-26,TOKYO STI CT                                              ,Cafes         
62,7.73,2013-03-26,2013-03-26,STARBUCKS U00055 UNCASSVILLE CT                           ,Cafes         
